TICKET_NMBR,PRIORITY,BUSINESS_COMPLETION_HRS,EXTERNAL_SYSTEM,label,1,2,3,4,5,6,7,8,9,10,11,12
IN10032682,Low,75.05,1)CHAT,1,1,0,0,0,0,0,0,0,0,0,0,0
IN10174402,Low,2200.83,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10096643,Medium,1781.49,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10174381,Low,797.32,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10107356,Low,682.92,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10156559,Low,400.08,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10098151,Low,392.2,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10100265,Medium,314.07,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10095512,Low,282.17,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10177220,Low,259.65,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10085814,Medium,238.45,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10074329,Low,204.1,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10291761,Medium,147.2,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10100140,Low,123.1,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10092353,Low,92.35,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10180621,Medium,66.88,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10174397,Low,62.6,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10079650,Low,60.97,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10096442,Medium,59.03,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10075683,Medium,45.85,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10171388,Medium,35.47,2)CREATEDFROMACTIVITY,2,0,1,0,0,0,0,0,0,0,0,0,0
IN10029385,Low,2741.98,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10094984,Low,1628.92,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10047860,Low,1205.7,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10209425,Low,1092.43,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10209279,Low,1092.4,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10270497,Medium,875.85,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10035182,Low,840.55,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10034733,Low,770,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
IN10209289,Low,687.85,3)CREATEDFROMINCIDENT,3,0,0,1,0,0,0,0,0,0,0,0,0
