BUSINESS_COMPLETION_HRS,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12
75.05,1,0,0,0,0,0,0,0,0,0,0,0
2200.83,0,1,0,0,0,0,0,0,0,0,0,0
1781.49,0,1,0,0,0,0,0,0,0,0,0,0
797.32,0,1,0,0,0,0,0,0,0,0,0,0
682.92,0,1,0,0,0,0,0,0,0,0,0,0
400.08,0,1,0,0,0,0,0,0,0,0,0,0
392.2,0,1,0,0,0,0,0,0,0,0,0,0
314.07,0,1,0,0,0,0,0,0,0,0,0,0
282.17,0,1,0,0,0,0,0,0,0,0,0,0
259.65,0,1,0,0,0,0,0,0,0,0,0,0
238.45,0,1,0,0,0,0,0,0,0,0,0,0
204.1,0,1,0,0,0,0,0,0,0,0,0,0
147.2,0,1,0,0,0,0,0,0,0,0,0,0
123.1,0,1,0,0,0,0,0,0,0,0,0,0
92.35,0,1,0,0,0,0,0,0,0,0,0,0
66.88,0,1,0,0,0,0,0,0,0,0,0,0
62.6,0,1,0,0,0,0,0,0,0,0,0,0
60.97,0,1,0,0,0,0,0,0,0,0,0,0
59.03,0,1,0,0,0,0,0,0,0,0,0,0
45.85,0,1,0,0,0,0,0,0,0,0,0,0
35.47,0,1,0,0,0,0,0,0,0,0,0,0
2741.98,0,0,1,0,0,0,0,0,0,0,0,0
1628.92,0,0,1,0,0,0,0,0,0,0,0,0
1205.7,0,0,1,0,0,0,0,0,0,0,0,0
1092.43,0,0,1,0,0,0,0,0,0,0,0,0
1092.4,0,0,1,0,0,0,0,0,0,0,0,0
875.85,0,0,1,0,0,0,0,0,0,0,0,0
840.55,0,0,1,0,0,0,0,0,0,0,0,0
770,0,0,1,0,0,0,0,0,0,0,0,0
687.85,0,0,1,0,0,0,0,0,0,0,0,0
617.17,0,0,1,0,0,0,0,0,0,0,0,0
509.41,0,0,1,0,0,0,0,0,0,0,0,0
501.1,0,0,1,0,0,0,0,0,0,0,0,0
491.5,0,0,1,0,0,0,0,0,0,0,0,0
460.55,0,0,1,0,0,0,0,0,0,0,0,0
