Row Labels,Number_of_assigned_group,BUSINESS_COMPLETION_HRS
IN10065871,3,8.02
IN10056052,1,8.04
IN10170129,1,8.07
IN10059571,2,8.08
IN10220214,2,8.11
IN10203377,1,8.17
IN10065222,1,8.18
IN10129942,2,8.18
IN10105926,2,8.22
IN10150567,2,8.24
IN10155816,1,8.24
IN10173027,2,8.3
IN10069343,4,8.31
IN10175508,2,8.31
IN10198846,2,8.35
IN10098354,1,8.36
IN10213190,2,8.36
IN10162205,2,8.38
IN10044437,1,8.39
IN10040545,1,8.42
IN10110411,1,8.42
IN10217360,1,8.54
IN10035320,3,8.57
IN10160441,1,8.62
IN10062680,1,8.63
IN10201882,2,8.64
IN10039715,2,8.69
IN10098921,1,8.7
IN10113154,1,8.71
IN10222702,5,8.72
IN10220142,3,8.74
IN10130719,2,8.77
IN10178778,1,8.8
IN10211380,1,8.82
IN10206130,1,8.83
IN10081087,1,8.86
IN10038660,2,8.89
IN10100738,2,8.98
IN10105017,1,9.09
IN10156671,2,9.11
IN10054483,1,9.12
IN10214234,1,9.19
IN10124496,2,9.26
IN10105008,1,9.42
IN10073347,2,9.46
IN10149842,2,9.48
IN10149069,1,9.5
IN10197609,2,9.5
IN10149070,1,9.51
IN10212275,1,9.53
IN10096075,1,9.55
IN10044118,1,9.6
IN10196158,1,9.63
IN10193230,1,9.64
IN10041455,2,9.67
IN10062574,1,9.75
IN10080733,1,9.77
IN10171251,1,9.81
IN10216537,2,9.87
IN10041861,2,9.91
IN10077076,2,9.99
IN10113367,1,9.99
IN10031006,3,10
IN10166039,1,10
IN10112352,1,10.01
IN10075080,1,10.02
IN10112347,1,10.06
IN10156346,1,10.06
IN10056833,1,10.07
IN10042714,1,10.2
IN10074968,1,10.2
IN10192855,1,10.2
IN10112328,1,10.27
IN10056488,1,10.3
IN10179133,1,10.3
IN10040837,1,10.35
IN10191341,1,10.41
IN10171744,1,10.47
IN10091854,1,10.65
IN10164964,1,10.74
IN10059673,2,10.86
IN10067232,2,10.99
IN10071353,3,10.99
IN10218868,1,11
IN10065401,5,11.02
IN10197379,1,11.03
IN10112275,1,11.06
IN10146749,1,11.1
IN10048772,3,11.12
IN10112255,1,11.12
IN10112261,1,11.13
IN10112249,1,11.16
IN10122836,1,11.2
IN10175558,2,11.2
IN10112224,1,11.29
IN10122405,2,11.3
IN10046650,1,11.32
IN10125039,1,11.33
IN10214387,2,11.34
IN10223035,2,11.38
IN10199208,1,11.39
IN10087429,1,11.44
IN10201717,2,11.5
IN10194548,1,11.54
IN10106102,1,11.57
IN10197993,1,11.57
IN10166519,1,11.61
IN10144809,1,11.64
IN10222178,2,11.64
IN10045916,2,11.66
IN10207613,1,11.7
IN10064199,3,11.71
IN10155213,1,11.8
IN10173828,1,11.8
IN10208662,2,11.81
IN10140468,1,11.82
IN10155214,1,11.92
IN10151037,1,11.94
IN10117809,1,11.97
IN10152695,1,12.01
IN10162977,1,12.03
IN10163542,1,12.04
IN10113324,1,12.11
IN10063585,1,12.18
IN10044663,1,12.25
IN10183182,1,12.25
IN10157939,2,12.28
IN10196070,1,12.28
IN10171756,1,12.31
IN10146137,1,12.32
IN10085289,1,12.41
IN10174330,2,12.41
IN10195908,1,12.42
IN10198355,1,12.45
IN10032408,2,12.53
IN10062660,2,12.54
IN10081974,3,12.56
IN10150001,1,12.61
IN10087545,2,12.62
IN10092050,2,12.66
IN10096985,1,12.7
IN10211989,2,12.72
IN10074963,1,12.76
IN10031644,2,12.8
IN10122835,1,12.81
IN10138396,1,12.81
IN10210509,2,12.84
IN10180898,2,12.87
IN10218128,3,12.88
IN10210506,2,12.98
IN10155215,1,13.09
IN10220109,1,13.11
IN10062252,4,13.17
IN10138209,1,13.17
IN10217333,1,13.26
IN10122828,2,13.31
IN10159522,3,13.48
IN10160337,1,13.53
IN10201860,1,13.56
IN10031639,2,13.57
IN10176933,1,13.61
IN10131722,2,13.69
IN10051323,2,13.72
IN10117174,2,13.86
IN10072775,1,13.9
IN10040252,1,14.02
IN10137584,2,14.14
IN10147767,1,14.17
IN10180916,1,14.18
IN10222386,3,14.2
IN10048932,4,14.34
IN10214568,1,14.34
IN10158654,1,14.37
IN10194733,3,14.39
IN10075902,2,14.44
IN10068943,1,14.49
IN10153849,2,14.5
IN10146740,2,14.65
IN10154942,1,14.65
IN10187839,1,14.72
IN10155631,2,14.76
IN10090622,1,14.77
IN10107813,1,14.77
IN10149009,2,14.89
IN10047829,2,14.92
IN10110168,2,14.93
IN10141924,1,14.95
IN10121988,2,15
IN10190943,1,15
IN10156249,1,15.03
IN10221422,1,15.03
IN10090618,1,15.07
IN10100989,2,15.08
IN10209384,1,15.11
IN10190776,1,15.13
IN10066214,4,15.16
IN10163275,1,15.19
IN10158067,2,15.32
IN10146713,3,15.37
IN10064891,1,15.45
IN10101125,1,15.45
IN10193139,3,15.47
IN10094439,1,15.48
IN10042164,4,15.5
IN10055348,2,15.56
IN10080899,1,15.62
IN10101788,1,15.63
IN10136150,3,15.65
IN10132474,2,15.68
IN10101148,1,15.69
IN10130072,2,15.72
IN10070433,2,15.73
IN10096642,1,15.74
IN10127653,1,15.75
IN10068642,1,15.77
IN10186061,2,15.83
IN10087860,1,15.94
IN10094012,2,15.96
IN10040783,1,16.1
IN10218682,1,16.1
IN10114201,1,16.11
IN10172550,2,16.12
IN10076349,1,16.14
IN10206983,1,16.14
IN10158976,2,16.18
IN10050258,1,16.19
IN10169397,1,16.24
IN10054164,2,16.27
IN10179538,1,16.27
IN10186053,2,16.28
IN10102321,1,16.33
IN10131522,1,16.36
IN10158239,3,16.4
IN10158052,2,16.43
IN10041860,1,16.44
IN10198810,1,16.46
IN10162458,3,16.51
IN10095524,1,16.52
IN10160346,3,16.57
IN10060201,5,16.62
IN10117639,3,16.66
IN10125768,2,16.66
IN10170250,2,16.7
IN10161297,1,16.75
IN10036897,2,16.76
IN10186045,2,16.77
IN10070583,2,16.81
IN10105550,1,16.83
IN10163276,1,16.84
IN10125752,2,16.88
IN10144791,2,16.89
IN10203315,1,16.92
IN10046565,3,16.95
IN10107955,1,16.98
IN10032092,2,17
IN10093179,3,17
IN10070195,1,17.03
IN10125767,2,17.03
IN10070196,1,17.05
IN10125764,2,17.09
IN10176902,1,17.11
IN10154563,2,17.14
IN10213340,1,17.15
IN10107777,1,17.16
IN10128843,1,17.17
IN10125763,2,17.19
IN10110335,1,17.22
IN10117304,2,17.22
IN10141801,2,17.22
IN10134046,4,17.25
IN10179059,2,17.25
IN10210830,1,17.38
IN10098600,1,17.41
IN10046651,2,17.45
IN10125754,2,17.46
IN10125745,2,17.47
IN10084505,1,17.49
IN10125755,2,17.5
IN10210246,2,17.5
IN10116966,3,17.51
IN10125747,2,17.51
IN10215700,1,17.56
IN10045126,2,17.58
IN10125741,2,17.65
IN10157679,2,17.66
IN10209889,2,17.67
IN10118302,1,17.68
IN10102308,1,17.69
IN10056467,4,17.73
IN10102494,3,17.73
IN10150002,1,17.74
IN10125740,2,17.77
IN10032476,1,17.8
IN10125749,2,17.8
IN10093841,2,17.81
IN10162271,2,17.85
IN10158030,2,17.86
IN10038332,4,17.87
IN10059356,1,17.87
IN10125769,2,17.87
IN10125734,2,17.89
IN10125735,2,17.9
IN10198289,3,17.91
IN10069217,1,17.94
IN10054982,3,18.02
IN10135768,1,18.02
IN10136331,2,18.04
IN10125742,2,18.07
IN10129201,2,18.08
IN10125738,2,18.1
IN10125739,2,18.1
IN10125731,2,18.11
IN10125733,2,18.13
IN10217443,1,18.15
IN10113797,2,18.23
IN10120749,1,18.23
IN10202909,2,18.23
IN10171749,1,18.24
IN10109578,3,18.27
IN10102795,1,18.28
IN10124312,1,18.3
IN10051939,2,18.32
IN10122794,1,18.32
IN10125729,2,18.32
IN10113625,2,18.35
IN10030825,3,18.36
IN10128678,3,18.36
IN10050573,1,18.39
IN10088402,2,18.39
IN10073412,3,18.42
IN10118263,1,18.43
IN10199995,1,18.48
IN10061020,1,18.52
IN10093998,2,18.53
IN10041416,1,18.55
IN10193707,1,18.55
IN10085133,1,18.62
IN10089222,2,18.63
IN10195461,1,18.65
IN10045202,1,18.67
IN10043618,3,18.68
IN10044010,1,18.68
IN10139914,1,18.68
IN10069425,2,18.71
IN10085390,1,18.71
IN10096612,2,18.74
IN10157673,1,18.75
IN10116778,1,18.76
IN10146693,2,18.8
IN10166664,1,18.8
IN10057511,2,18.84
IN10132627,1,18.88
IN10091647,2,18.9
IN10122791,1,18.9
IN10169455,1,18.93
IN10199179,2,18.93
IN10202393,2,18.93
IN10131719,2,18.94
IN10056818,1,18.96
IN10123344,2,18.97
IN10198956,2,18.97
IN10061986,1,19.03
IN10090474,1,19.05
IN10111460,2,19.09
IN10093844,2,19.12
IN10081208,1,19.13
IN10058705,2,19.17
IN10170223,1,19.18
IN10134018,1,19.2
IN10082259,1,19.25
IN10136143,2,19.26
IN10194010,2,19.31
IN10051530,1,19.34
IN10040895,4,19.41
IN10085096,1,19.44
IN10047538,3,19.49
IN10111453,2,19.5
IN10116133,1,19.52
IN10083641,1,19.55
IN10111451,2,19.57
IN10114954,1,19.61
IN10138102,2,19.74
IN10222417,2,19.74
IN10177404,2,19.76
IN10170760,4,19.77
IN10111593,2,19.79
IN10106786,2,19.81
IN10111449,2,19.82
IN10169450,2,19.87
IN10097639,4,19.94
IN10031224,2,20
IN10040765,2,20
IN10044828,1,20
IN10045652,1,20
IN10047031,1,20
IN10047035,1,20
IN10050533,1,20
IN10053864,2,20
IN10056057,1,20
IN10056059,1,20
IN10059769,1,20
IN10061132,1,20
IN10066647,1,20
IN10069219,2,20
IN10069607,2,20
IN10070987,1,20
IN10073849,2,20
IN10075545,3,20
IN10077301,1,20
IN10077302,2,20
IN10077437,1,20
IN10078760,2,20
IN10079144,1,20
IN10079183,1,20
IN10081069,1,20
IN10081397,1,20
IN10081402,1,20
IN10084235,1,20
IN10088747,1,20
IN10091230,1,20
IN10091239,1,20
IN10095081,1,20
IN10101424,1,20
IN10104349,3,20
IN10110933,2,20
IN10112874,1,20
IN10113846,1,20
IN10119711,1,20
IN10120786,1,20
IN10122594,1,20
IN10123408,1,20
IN10133249,1,20
IN10137695,2,20
IN10138230,1,20
IN10138403,1,20
IN10138691,1,20
IN10139353,1,20
IN10150867,3,20
IN10153863,2,20
IN10159810,2,20
IN10160580,1,20
IN10161745,1,20
IN10163536,1,20
IN10165149,1,20
IN10174894,1,20
IN10176106,2,20
IN10184044,2,20
IN10191138,3,20
IN10193563,1,20
IN10194900,1,20
IN10198241,1,20
IN10198850,1,20
IN10198857,1,20
IN10200062,2,20
IN10203181,1,20
IN10203182,3,20
IN10203333,1,20
IN10205358,1,20
IN10206321,1,20
IN10208403,1,20
IN10211451,4,20
IN10213562,1,20
IN10222829,1,20
IN10224387,1,20
IN10226732,2,20
IN10226734,2,20
IN10226744,1,20
IN10228205,1,20
IN10230028,2,20
IN10230769,3,20
IN10231873,1,20
IN10232638,2,20
IN10235561,1,20
IN10236344,1,20
IN10237305,1,20
IN10241686,1,20
IN10241687,1,20
IN10241691,1,20
IN10241697,1,20
IN10241700,1,20
IN10241701,1,20
IN10241705,1,20
IN10241708,1,20
IN10241716,1,20
IN10241718,1,20
IN10242928,1,20
IN10246744,2,20
IN10247422,2,20
IN10247599,1,20
IN10247754,1,20
IN10248122,1,20
IN10248717,1,20
IN10255472,1,20
IN10257196,5,20
IN10261883,2,20
IN10167150,1,20.01
IN10029787,4,20.02
IN10199431,1,20.02
IN10051488,1,20.03
IN10084276,1,20.03
IN10147744,3,20.03
IN10252518,4,20.03
IN10147611,1,20.04
IN10049620,1,20.05
IN10052407,3,20.05
IN10054018,2,20.05
IN10073724,1,20.05
IN10084273,1,20.05
IN10103199,1,20.05
IN10103729,1,20.05
IN10219805,1,20.05
IN10224641,2,20.05
IN10254190,1,20.05
IN10128770,1,20.06
IN10231194,1,20.06
IN10074129,1,20.07
IN10081785,3,20.07
IN10084272,1,20.07
IN10163846,2,20.07
IN10173072,1,20.07
IN10186516,1,20.07
IN10228615,1,20.07
IN10256162,2,20.07
IN10054366,2,20.08
IN10061394,2,20.08
IN10067974,1,20.08
IN10084271,1,20.08
IN10088864,1,20.08
IN10112818,1,20.08
IN10140441,1,20.08
IN10214281,1,20.08
IN10214471,1,20.08
IN10216908,1,20.08
IN10260437,1,20.08
IN10168184,5,20.09
IN10174822,1,20.09
IN10225013,1,20.09
IN10045980,2,20.1
IN10084270,1,20.1
IN10085830,1,20.1
IN10085880,1,20.1
IN10101055,2,20.1
IN10110084,1,20.1
IN10150098,2,20.1
IN10162525,1,20.1
IN10195015,1,20.1
IN10214532,2,20.1
IN10235823,4,20.1
IN10157933,2,20.11
IN10183104,1,20.11
IN10030001,1,20.12
IN10070493,3,20.12
IN10084266,1,20.12
IN10103972,1,20.12
IN10120773,1,20.12
IN10148148,1,20.12
IN10205605,1,20.12
IN10216985,2,20.12
IN10239104,3,20.12
IN10105370,5,20.13
IN10193797,1,20.13
IN10065797,1,20.14
IN10084269,1,20.14
IN10127804,1,20.14
IN10130839,2,20.14
IN10246115,1,20.14
IN10036570,1,20.15
IN10048022,2,20.15
IN10072470,3,20.15
IN10074156,1,20.15
IN10079011,1,20.15
IN10079741,1,20.15
IN10081081,2,20.15
IN10131287,2,20.15
IN10171941,1,20.15
IN10187816,2,20.15
IN10188501,1,20.15
IN10197525,1,20.15
IN10208473,1,20.15
IN10214138,1,20.15
IN10224656,1,20.15
IN10225664,1,20.15
IN10234233,2,20.15
IN10234394,1,20.15
IN10257289,1,20.15
IN10084233,1,20.16
IN10166430,1,20.16
IN10206192,2,20.16
IN10245897,1,20.16
IN10051277,1,20.17
IN10093383,1,20.17
IN10095744,1,20.17
IN10115493,3,20.17
IN10139280,3,20.17
IN10144814,1,20.17
IN10168862,1,20.17
